# MemVanta trained-model layer profile
prefill_ms=35867.2 decode_total_ms=9784.24 sampling_ms=0.494493
prefill_cycles_per_token=727457076.12 decode_cycles_per_token=1587547315.19
qkv_projection_ms=10299.59 attention_output_projection_ms=3471.97 ffn_gemm_ms=28082.76 output_head_ms=2938.49
non_gemm_core_ms=858.14 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,323.71,109.50,877.96,1311.17,2.93,9.11
1,321.95,107.47,877.15,1306.57,2.92,9.07
2,321.88,108.33,880.82,1311.03,2.93,9.10
3,322.00,107.79,875.67,1305.47,2.91,9.07
4,322.51,108.63,874.97,1306.11,2.92,9.07
5,322.55,108.09,877.12,1307.76,2.92,9.08
6,322.16,107.55,875.44,1305.15,2.91,9.06
7,320.93,107.35,870.10,1298.38,2.90,9.02
8,320.91,109.54,880.34,1310.78,2.93,9.10
9,320.49,108.00,880.55,1309.04,2.92,9.09
10,320.59,108.50,881.44,1310.52,2.93,9.10
11,322.22,109.03,879.02,1310.27,2.93,9.10
12,320.92,107.98,874.95,1303.85,2.91,9.05
13,321.27,109.47,875.59,1306.33,2.92,9.07
14,322.05,107.35,875.90,1305.30,2.91,9.06
15,320.98,108.26,880.84,1310.08,2.92,9.10
16,323.42,109.69,878.22,1311.33,2.93,9.11
17,320.14,108.79,877.66,1306.59,2.92,9.07
18,321.86,107.89,877.02,1306.77,2.92,9.07
19,322.31,108.23,879.49,1310.02,2.92,9.10
20,322.33,109.24,875.04,1306.61,2.92,9.07
21,321.24,109.22,878.31,1308.77,2.92,9.09
22,322.52,109.19,880.33,1312.05,2.93,9.11
23,321.00,108.55,872.58,1302.12,2.91,9.04
24,321.74,107.79,877.47,1307.00,2.92,9.08
25,321.74,107.47,881.07,1310.27,2.93,9.10
26,320.81,108.96,876.92,1306.70,2.92,9.07
27,321.63,109.58,879.10,1310.31,2.93,9.10
28,321.49,108.43,876.35,1306.27,2.92,9.07
29,321.24,107.71,876.13,1305.08,2.91,9.06
30,325.24,109.33,880.97,1315.55,2.94,9.14
31,323.76,109.04,878.24,1311.05,2.93,9.10
profile_csv=sevenb-ffn-kernel-ab/optimized-3.csv
