# MemVanta trained-model layer profile
prefill_ms=49955.3 decode_total_ms=11445.6 sampling_ms=0.371771
prefill_cycles_per_token=954400054.89 decode_cycles_per_token=1749353370.19
qkv_projection_ms=14444.03 attention_output_projection_ms=4848.70 ffn_gemm_ms=38028.02 output_head_ms=3052.63
non_gemm_core_ms=1027.19 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,456.35,150.95,1210.25,1817.55,3.01,12.62
1,471.39,146.56,1218.25,1836.19,3.04,12.75
2,459.62,154.80,1189.77,1804.19,2.99,12.53
3,447.84,150.46,1219.18,1817.48,3.01,12.62
4,467.02,151.58,1203.88,1822.48,3.02,12.66
5,463.60,153.41,1229.83,1846.84,3.06,12.83
6,465.78,155.97,1240.66,1862.41,3.08,12.93
7,485.18,159.94,1133.63,1778.75,2.95,12.35
8,435.42,145.91,1154.85,1736.18,2.88,12.06
9,451.78,147.55,1169.72,1769.06,2.93,12.29
10,470.34,157.99,1230.39,1858.72,3.08,12.91
11,484.56,159.00,1266.61,1910.18,3.16,13.27
12,470.43,159.11,1243.60,1873.14,3.10,13.01
13,437.58,150.26,1145.99,1733.83,2.87,12.04
14,437.26,147.63,1175.15,1760.03,2.92,12.22
15,441.84,146.86,1140.57,1729.28,2.86,12.01
16,441.34,148.58,1171.05,1760.97,2.92,12.23
17,447.16,150.69,1167.81,1765.66,2.92,12.26
18,451.38,161.22,1161.16,1773.76,2.94,12.32
19,434.76,146.52,1175.27,1756.55,2.91,12.20
20,452.18,155.62,1159.79,1767.59,2.93,12.27
21,437.55,145.52,1192.81,1775.87,2.94,12.33
22,450.18,153.50,1255.52,1859.20,3.08,12.91
23,450.31,155.53,1203.78,1809.62,3.00,12.57
24,461.58,146.68,1230.00,1838.26,3.04,12.77
25,438.46,146.97,1150.93,1736.36,2.88,12.06
26,437.37,147.79,1152.40,1737.56,2.88,12.07
27,433.76,147.04,1165.84,1746.64,2.89,12.13
28,431.74,144.89,1133.24,1709.87,2.83,11.87
29,446.58,149.86,1153.18,1749.62,2.90,12.15
30,440.28,152.08,1169.24,1761.60,2.92,12.23
31,443.40,158.23,1213.68,1815.31,3.01,12.61
profile_csv=sevenb-ffn-tuning/fp32-b64.csv
