# MemVanta trained-model layer profile
prefill_ms=49696 decode_total_ms=11431.1 sampling_ms=0.36456
prefill_cycles_per_token=949446307.06 decode_cycles_per_token=1747142270.75
qkv_projection_ms=14090.59 attention_output_projection_ms=4723.66 ffn_gemm_ms=38189.58 output_head_ms=3052.38
non_gemm_core_ms=1070.60 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,443.01,147.23,1184.64,1774.88,2.96,12.33
1,437.76,146.90,1177.22,1761.87,2.93,12.24
2,436.88,146.51,1187.03,1770.42,2.95,12.29
3,439.56,146.93,1192.86,1779.36,2.96,12.36
4,437.97,146.58,1205.45,1790.00,2.98,12.43
5,439.72,148.69,1197.84,1786.25,2.97,12.40
6,439.27,147.23,1193.64,1780.14,2.96,12.36
7,440.25,147.99,1212.84,1801.08,3.00,12.51
8,460.92,148.31,1203.77,1813.00,3.02,12.59
9,440.67,147.66,1192.60,1780.93,2.97,12.37
10,440.12,149.03,1191.10,1780.24,2.96,12.36
11,439.17,148.06,1201.11,1788.34,2.98,12.42
12,440.84,146.56,1201.12,1788.52,2.98,12.42
13,438.67,146.68,1182.46,1767.80,2.94,12.28
14,440.18,147.98,1187.08,1775.23,2.96,12.33
15,437.90,147.54,1181.33,1766.77,2.94,12.27
16,441.14,147.85,1197.31,1786.30,2.97,12.40
17,439.60,148.13,1195.28,1783.01,2.97,12.38
18,440.35,148.51,1191.86,1780.72,2.97,12.37
19,438.58,146.36,1202.81,1787.74,2.98,12.41
20,442.30,147.96,1195.21,1785.47,2.97,12.40
21,441.23,148.93,1199.44,1789.61,2.98,12.43
22,439.91,147.32,1205.64,1792.87,2.99,12.45
23,440.23,148.38,1201.27,1789.88,2.98,12.43
24,438.24,147.95,1179.51,1765.71,2.94,12.26
25,437.78,147.27,1182.47,1767.52,2.94,12.27
26,438.84,147.37,1181.04,1767.24,2.94,12.27
27,440.60,147.60,1193.87,1782.08,2.97,12.38
28,437.80,147.58,1190.98,1776.37,2.96,12.34
29,439.71,148.12,1179.62,1767.46,2.94,12.27
30,439.86,147.03,1197.16,1784.04,2.97,12.39
31,441.55,147.44,1204.03,1793.02,2.99,12.45
profile_csv=sevenb-ffn-tuning/fp32-b32.csv
