layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,16,8,121.723190
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,16,8,121.115586
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,16,8,119.929191
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,16,8,119.937937
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,16,8,314.045075
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,16,8,312.990670
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,16,8,336.861540
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,16,8,123.189451
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,16,8,120.758185
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,16,8,120.500011
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,16,8,120.112719
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,16,8,312.787260
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,16,8,313.016471
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,16,8,331.758611
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,16,8,121.008756
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,16,8,120.406826
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,16,8,119.948439
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,16,8,119.904135
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,16,8,314.458916
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,16,8,312.151068
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,16,8,332.559779
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,16,8,122.885434
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,16,8,120.028862
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,16,8,120.089942
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,16,8,120.769899
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,16,8,313.830600
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,16,8,312.785767
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,16,8,333.171388
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,16,8,122.930941
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,16,8,120.339870
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,16,8,119.916679
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,16,8,119.909501
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,16,8,313.967818
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,16,8,312.577863
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,16,8,337.236176
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,16,8,120.660579
