# MemVanta trained-model layer profile
prefill_ms=136216 decode_total_ms=11421.1 sampling_ms=0.361251
prefill_cycles_per_token=2602414457.07 decode_cycles_per_token=1745611428.50
qkv_projection_ms=35781.69 attention_output_projection_ms=11926.66 ffn_gemm_ms=95807.06 output_head_ms=3042.40
non_gemm_core_ms=1078.92 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,1120.75,372.70,2997.72,4491.17,3.06,31.19
1,1118.65,372.48,2992.71,4483.83,3.06,31.14
2,1117.80,372.68,2993.41,4483.90,3.06,31.14
3,1118.61,373.01,2992.92,4484.54,3.06,31.14
4,1117.73,372.45,2998.60,4488.78,3.06,31.17
5,1120.30,374.12,2994.43,4488.85,3.06,31.17
6,1117.88,372.83,2996.17,4486.87,3.06,31.16
7,1119.19,372.61,2993.93,4485.72,3.06,31.15
8,1118.27,372.67,2993.47,4484.41,3.06,31.14
9,1117.88,372.79,2993.51,4484.18,3.06,31.14
10,1117.65,373.03,2992.10,4482.78,3.06,31.13
11,1117.17,372.44,2991.92,4481.54,3.06,31.12
12,1117.21,372.56,2992.80,4482.57,3.06,31.13
13,1117.36,372.45,2994.16,4483.97,3.06,31.14
14,1117.95,372.74,2992.87,4483.56,3.06,31.14
15,1117.80,373.29,2997.30,4488.39,3.06,31.17
16,1118.38,372.49,2992.29,4483.15,3.06,31.13
17,1118.77,372.42,2992.94,4484.13,3.06,31.14
18,1117.74,372.81,2993.68,4484.23,3.06,31.14
19,1117.84,372.77,2991.98,4482.60,3.06,31.13
20,1117.59,372.72,2993.09,4483.40,3.06,31.13
21,1117.47,372.42,2993.05,4482.94,3.06,31.13
22,1117.90,372.60,2993.74,4484.24,3.06,31.14
23,1118.42,373.39,2994.64,4486.46,3.06,31.16
24,1117.86,372.24,2992.73,4482.83,3.06,31.13
25,1117.67,372.63,2992.90,4483.20,3.06,31.13
26,1119.11,372.63,2994.94,4486.68,3.06,31.16
27,1117.73,372.45,2992.87,4483.04,3.06,31.13
28,1117.68,372.61,2994.20,4484.48,3.06,31.14
29,1117.90,372.50,2993.02,4483.41,3.06,31.13
30,1119.38,372.64,2998.60,4490.62,3.06,31.18
31,1118.07,372.50,2994.37,4484.94,3.06,31.15
profile_csv=sevenb-ffn-tuning/q8act-b32.csv
